REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,MINCOABLR,1,2038,5.896
GLOBAL,MINCOABLR,1,2039,5.896
GLOBAL,MINCOABLR,1,2040,5.896
GLOBAL,MINCOABLR,1,2041,5.896
GLOBAL,MINCOABLR,1,2042,5.896
GLOBAL,MINCOABLR,1,2043,5.896
GLOBAL,MINCOABLR,1,2044,5.896
GLOBAL,MINCOABLR,1,2045,5.896
GLOBAL,MINCOABLR,1,2046,5.896
GLOBAL,MINCOABLR,1,2047,5.896
GLOBAL,MINCOABLR,1,2048,5.896
GLOBAL,MINCOABLR,1,2049,5.896
GLOBAL,MINCOABLR,1,2050,5.896
GLOBAL,MINCOABLZ,1,2021,5.896
GLOBAL,MINCOABLZ,1,2022,5.896
GLOBAL,MINCOABLZ,1,2023,5.896
