REGION,STORAGE,SEASON,DAYTYPE,DAILYTIMEBRACKET,YEAR,VALUE
GLOBAL,SDSKENXX01,3,1,1,2031,1e-05
GLOBAL,SDSKENXX01,3,1,1,2032,1e-05
GLOBAL,SDSKENXX01,3,1,1,2034,1e-05
GLOBAL,SDSKENXX01,3,1,1,2043,1e-05
GLOBAL,SDSKENXX01,3,1,2,2028,1e-05
GLOBAL,SDSKENXX01,3,1,2,2030,1e-05
GLOBAL,SDSKENXX01,3,1,2,2040,1e-05
GLOBAL,SDSKENXX01,3,1,3,2023,1e-05
GLOBAL,SDSKENXX01,3,1,3,2033,1e-05
GLOBAL,SDSKENXX01,3,1,3,2035,1e-05
GLOBAL,SDSKENXX01,3,1,3,2036,1e-05
GLOBAL,SDSKENXX01,3,1,3,2037,1e-05
GLOBAL,SDSKENXX01,3,1,3,2038,1e-05
GLOBAL,SDSKENXX01,3,1,3,2039,1e-05
GLOBAL,SDSKENXX01,3,1,3,2041,1e-05
GLOBAL,SDSKENXX01,3,1,3,2042,1e-05
GLOBAL,SDSKENXX01,3,1,3,2044,1e-05
GLOBAL,SDSKENXX01,3,1,3,2045,1e-05
GLOBAL,SDSKENXX01,3,1,3,2046,1e-05
GLOBAL,SDSKENXX01,3,1,4,2021,-9.4608e-06
GLOBAL,SDSKENXX01,3,1,4,2022,-9.4608e-06
GLOBAL,SDSKENXX01,3,1,4,2023,-1e-05
GLOBAL,SDSKENXX01,3,1,4,2024,-1e-05
GLOBAL,SDSKENXX01,3,1,4,2025,-1e-05
GLOBAL,SDSKENXX01,3,1,4,2026,-1e-05
GLOBAL,SDSKENXX01,3,1,4,2027,-1e-05
GLOBAL,SDSKENXX01,3,1,4,2028,-1e-05
GLOBAL,SDSKENXX01,3,1,4,2029,-1e-05
GLOBAL,SDSKENXX01,3,1,4,2030,-1e-05
GLOBAL,SDSKENXX01,3,1,4,2031,-1e-05
GLOBAL,SDSKENXX01,3,1,4,2032,-1e-05
GLOBAL,SDSKENXX01,3,1,4,2033,-1e-05
GLOBAL,SDSKENXX01,3,1,4,2034,-1e-05
GLOBAL,SDSKENXX01,3,1,4,2035,-1e-05
GLOBAL,SDSKENXX01,3,1,4,2036,-1e-05
GLOBAL,SDSKENXX01,3,1,4,2037,-1e-05
GLOBAL,SDSKENXX01,3,1,4,2038,-1e-05
GLOBAL,SDSKENXX01,3,1,4,2039,-1e-05
GLOBAL,SDSKENXX01,3,1,4,2040,-1e-05
GLOBAL,SDSKENXX01,3,1,4,2041,-1e-05
GLOBAL,SDSKENXX01,3,1,4,2042,-1e-05
GLOBAL,SDSKENXX01,3,1,4,2043,-1e-05
GLOBAL,SDSKENXX01,3,1,4,2044,-1e-05
GLOBAL,SDSKENXX01,3,1,4,2045,-1e-05
GLOBAL,SDSKENXX01,3,1,4,2046,-1e-05
