REGION,FUEL,TIMESLICE,YEAR,VALUE
GLOBAL,ELCKENXX02,S3D3,2026,0.1
GLOBAL,ELCKENXX02,S3D3,2027,0.1
GLOBAL,ELCKENXX02,S3D3,2028,0.1
GLOBAL,ELCKENXX02,S3D3,2029,0.1
GLOBAL,ELCKENXX02,S3D3,2030,0.1
GLOBAL,ELCKENXX02,S3D3,2031,0.1
GLOBAL,ELCKENXX02,S3D3,2032,0.1
GLOBAL,ELCKENXX02,S3D3,2033,0.1
GLOBAL,ELCKENXX02,S3D3,2034,0.1
GLOBAL,ELCKENXX02,S3D3,2035,0.1
GLOBAL,ELCKENXX02,S3D3,2036,0.1
GLOBAL,ELCKENXX02,S3D3,2037,0.1
GLOBAL,ELCKENXX02,S3D3,2038,0.1
GLOBAL,ELCKENXX02,S3D3,2039,0.1
GLOBAL,ELCKENXX02,S3D3,2040,0.1
GLOBAL,ELCKENXX02,S3D3,2041,0.1
GLOBAL,ELCKENXX02,S3D3,2042,0.1
GLOBAL,ELCKENXX02,S3D3,2043,0.1
GLOBAL,ELCKENXX02,S3D3,2044,0.1
GLOBAL,ELCKENXX02,S3D3,2045,0.1
GLOBAL,ELCKENXX02,S3D3,2046,0.1
GLOBAL,ELCKENXX02,S3D3,2047,0.1
GLOBAL,ELCKENXX02,S3D3,2048,0.1
GLOBAL,ELCKENXX02,S3D3,2049,0.1
GLOBAL,ELCKENXX02,S3D3,2050,0.1
GLOBAL,ELCTZAXX02,S3D3,2021,0.11
GLOBAL,ELCTZAXX02,S3D3,2022,0.11
GLOBAL,ELCTZAXX02,S3D3,2023,0.11
GLOBAL,ELCTZAXX02,S3D3,2024,0.11
GLOBAL,ELCTZAXX02,S3D3,2025,0.11
GLOBAL,ELCTZAXX02,S3D3,2026,0.11
GLOBAL,ELCTZAXX02,S3D3,2027,0.11
GLOBAL,ELCTZAXX02,S3D3,2028,0.11
GLOBAL,ELCTZAXX02,S3D3,2029,0.11
GLOBAL,ELCTZAXX02,S3D3,2030,0.11
GLOBAL,ELCTZAXX02,S3D3,2031,0.11
GLOBAL,ELCTZAXX02,S3D3,2032,0.11
GLOBAL,ELCTZAXX02,S3D3,2033,0.11
GLOBAL,ELCTZAXX02,S3D3,2034,0.11
GLOBAL,ELCTZAXX02,S3D3,2035,0.11
GLOBAL,ELCTZAXX02,S3D3,2036,0.11
GLOBAL,ELCTZAXX02,S3D3,2037,0.11
GLOBAL,ELCTZAXX02,S3D3,2038,0.11
GLOBAL,ELCTZAXX02,S3D3,2039,0.11
GLOBAL,ELCTZAXX02,S3D3,2040,0.11
GLOBAL,ELCTZAXX02,S3D3,2041,0.11
GLOBAL,ELCTZAXX02,S3D3,2042,0.11
GLOBAL,ELCTZAXX02,S3D3,2043,0.11
GLOBAL,ELCTZAXX02,S3D3,2044,0.11
GLOBAL,ELCTZAXX02,S3D3,2045,0.11
GLOBAL,ELCTZAXX02,S3D3,2046,0.11
GLOBAL,ELCTZAXX02,S3D3,2047,0.11
GLOBAL,ELCTZAXX02,S3D3,2048,0.11
GLOBAL,ELCTZAXX02,S3D3,2049,0.11
GLOBAL,ELCTZAXX02,S3D3,2050,0.11
