REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,PWRBCKATAXX,1,2031,999999.0
GLOBAL,PWRBCKATAXX,1,2032,999999.0
GLOBAL,PWRBCKATAXX,1,2033,999999.0
GLOBAL,PWRBCKATAXX,1,2034,999999.0
GLOBAL,PWRBCKATAXX,1,2035,999999.0
GLOBAL,PWRBCKATAXX,1,2036,999999.0
GLOBAL,PWRBCKATAXX,1,2037,999999.0
GLOBAL,PWRBCKATAXX,1,2038,999999.0
GLOBAL,PWRBCKATAXX,1,2039,999999.0
GLOBAL,PWRBCKATAXX,1,2040,999999.0
GLOBAL,PWRBCKATAXX,1,2041,999999.0
GLOBAL,PWRBCKATAXX,1,2042,999999.0
GLOBAL,PWRBCKATAXX,1,2043,999999.0
GLOBAL,PWRBCKATAXX,1,2044,999999.0
GLOBAL,PWRBCKATAXX,1,2045,999999.0
GLOBAL,PWRBCKATAXX,1,2046,999999.0
GLOBAL,PWRBCKATAXX,1,2047,999999.0
GLOBAL,PWRBCKATAXX,1,2048,999999.0
GLOBAL,PWRBCKATAXX,1,2049,999999.0
GLOBAL,PWRBCKATAXX,1,2050,999999.0
GLOBAL,PWRBCKAUSNT,1,2021,999999.0
GLOBAL,PWRBCKAUSNT,1,2022,999999.0
GLOBAL,PWRBCKAUSNT,1,2023,999999.0
GLOBAL,PWRBCKAUSNT,1,2024,999999.0
GLOBAL,PWRBCKAUSNT,1,2025,999999.0
GLOBAL,PWRBCKAUSNT,1,2026,999999.0
GLOBAL,PWRBCKAUSNT,1,2027,999999.0
GLOBAL,PWRBCKAUSNT,1,2028,999999.0
GLOBAL,PWRBCKAUSNT,1,2029,999999.0
GLOBAL,PWRBCKAUSNT,1,2030,999999.0
GLOBAL,PWRBCKAUSNT,1,2031,999999.0
GLOBAL,PWRBCKAUSNT,1,2032,999999.0
GLOBAL,PWRBCKAUSNT,1,2033,999999.0
GLOBAL,PWRBCKAUSNT,1,2034,999999.0
GLOBAL,PWRBCKAUSNT,1,2035,999999.0
GLOBAL,PWRBCKAUSNT,1,2036,999999.0
GLOBAL,PWRBCKAUSNT,1,2037,999999.0
GLOBAL,PWRBCKAUSNT,1,2038,999999.0
GLOBAL,PWRBCKAUSNT,1,2039,999999.0
GLOBAL,PWRBCKAUSNT,1,2040,999999.0
GLOBAL,PWRBCKAUSNT,1,2041,999999.0
GLOBAL,PWRBCKAUSNT,1,2042,999999.0
GLOBAL,PWRBCKAUSNT,1,2043,999999.0
GLOBAL,PWRBCKAUSNT,1,2044,999999.0
GLOBAL,PWRBCKAUSNT,1,2045,999999.0
GLOBAL,PWRBCKAUSNT,1,2046,999999.0
GLOBAL,PWRBCKAUSNT,1,2047,999999.0
GLOBAL,PWRBCKAUSNT,1,2048,999999.0
GLOBAL,PWRBCKAUSNT,1,2049,999999.0
GLOBAL,PWRBCKAUSNT,1,2050,999999.0
GLOBAL,PWRBCKAUSQL,1,2021,999999.0
GLOBAL,PWRBCKAUSQL,1,2022,999999.0
GLOBAL,PWRBCKAUSQL,1,2023,999999.0
GLOBAL,PWRBCKAUSQL,1,2024,999999.0
GLOBAL,PWRBCKAUSQL,1,2025,999999.0
GLOBAL,PWRBCKAUSQL,1,2026,999999.0
GLOBAL,PWRBCKAUSQL,1,2027,999999.0
GLOBAL,PWRBCKAUSQL,1,2028,999999.0
GLOBAL,PWRBCKAUSQL,1,2029,999999.0
GLOBAL,PWRBCKAUSQL,1,2030,999999.0
GLOBAL,PWRBCKAUSQL,1,2031,999999.0
GLOBAL,PWRBCKAUSQL,1,2032,999999.0
GLOBAL,PWRBCKAUSQL,1,2033,999999.0
GLOBAL,PWRBCKAUSQL,1,2034,999999.0
GLOBAL,PWRBCKAUSQL,1,2035,999999.0
GLOBAL,PWRBCKAUSQL,1,2036,999999.0
GLOBAL,PWRBCKAUSQL,1,2037,999999.0
GLOBAL,PWRBCKAUSQL,1,2038,999999.0
GLOBAL,PWRBCKAUSQL,1,2039,999999.0
GLOBAL,PWRBCKAUSQL,1,2040,999999.0
GLOBAL,PWRBCKAUSQL,1,2041,999999.0
GLOBAL,PWRBCKAUSQL,1,2042,999999.0
GLOBAL,PWRBCKAUSQL,1,2043,999999.0
GLOBAL,PWRBCKAUSQL,1,2044,999999.0
GLOBAL,PWRBCKAUSQL,1,2045,999999.0
GLOBAL,PWRBCKAUSQL,1,2046,999999.0
GLOBAL,PWRBCKAUSQL,1,2047,999999.0
GLOBAL,PWRBCKAUSQL,1,2048,999999.0
GLOBAL,PWRBCKAUSQL,1,2049,999999.0
GLOBAL,PWRBCKAUSQL,1,2050,999999.0
GLOBAL,PWRBCKAUSSA,1,2021,999999.0
GLOBAL,PWRBCKAUSSA,1,2022,999999.0
GLOBAL,PWRBCKAUSSA,1,2023,999999.0
GLOBAL,PWRBCKAUSSA,1,2024,999999.0
GLOBAL,PWRBCKAUSSA,1,2025,999999.0
GLOBAL,PWRBCKAUSSA,1,2026,999999.0
GLOBAL,PWRBCKAUSSA,1,2027,999999.0
GLOBAL,PWRBCKAUSSA,1,2028,999999.0
GLOBAL,PWRBCKAUSSA,1,2029,999999.0
GLOBAL,PWRBCKAUSSA,1,2030,999999.0
GLOBAL,PWRBCKAUSSA,1,2031,999999.0
GLOBAL,PWRBCKAUSSA,1,2032,999999.0
GLOBAL,PWRBCKAUSSA,1,2033,999999.0
GLOBAL,PWRBCKAUSSA,1,2034,999999.0
GLOBAL,PWRBCKAUSSA,1,2035,999999.0
GLOBAL,PWRBCKAUSSA,1,2036,999999.0
GLOBAL,PWRBCKAUSSA,1,2037,999999.0
GLOBAL,PWRBCKAUSSA,1,2038,999999.0
GLOBAL,PWRBCKAUSSA,1,2039,999999.0
GLOBAL,PWRBCKAUSSA,1,2040,999999.0
GLOBAL,PWRBCKAUSSA,1,2041,999999.0
GLOBAL,PWRBCKAUSSA,1,2042,999999.0
GLOBAL,PWRBCKAUSSA,1,2043,999999.0
GLOBAL,PWRBCKAUSSA,1,2044,999999.0
GLOBAL,PWRBCKAUSSA,1,2045,999999.0
GLOBAL,PWRBCKAUSSA,1,2046,999999.0
GLOBAL,PWRBCKAUSSA,1,2047,999999.0
GLOBAL,PWRBCKAUSSA,1,2048,999999.0
GLOBAL,PWRBCKAUSSA,1,2049,999999.0
GLOBAL,PWRBCKAUSSA,1,2050,999999.0
GLOBAL,PWRBCKAUSSW,1,2021,999999.0
GLOBAL,PWRBCKAUSSW,1,2022,999999.0
GLOBAL,PWRBCKAUSSW,1,2023,999999.0
GLOBAL,PWRBCKAUSSW,1,2024,999999.0
GLOBAL,PWRBCKAUSSW,1,2025,999999.0
GLOBAL,PWRBCKAUSSW,1,2026,999999.0
GLOBAL,PWRBCKAUSSW,1,2027,999999.0
GLOBAL,PWRBCKAUSSW,1,2028,999999.0
GLOBAL,PWRBCKAUSSW,1,2029,999999.0
GLOBAL,PWRBCKAUSSW,1,2030,999999.0
GLOBAL,PWRBCKAUSSW,1,2031,999999.0
GLOBAL,PWRBCKAUSSW,1,2032,999999.0
GLOBAL,PWRBCKAUSSW,1,2033,999999.0
GLOBAL,PWRBCKAUSSW,1,2034,999999.0
GLOBAL,PWRBCKAUSSW,1,2035,999999.0
GLOBAL,PWRBCKAUSSW,1,2036,999999.0
GLOBAL,PWRBCKAUSSW,1,2037,999999.0
GLOBAL,PWRBCKAUSSW,1,2038,999999.0
GLOBAL,PWRBCKAUSSW,1,2039,999999.0
GLOBAL,PWRBCKAUSSW,1,2040,999999.0
GLOBAL,PWRBCKAUSSW,1,2041,999999.0
GLOBAL,PWRBCKAUSSW,1,2042,999999.0
GLOBAL,PWRBCKAUSSW,1,2043,999999.0
GLOBAL,PWRBCKAUSSW,1,2044,999999.0
GLOBAL,PWRBCKAUSSW,1,2045,999999.0
GLOBAL,PWRBCKAUSSW,1,2046,999999.0
GLOBAL,PWRBCKAUSSW,1,2047,999999.0
GLOBAL,PWRBCKAUSSW,1,2048,999999.0
GLOBAL,PWRBCKAUSSW,1,2049,999999.0
GLOBAL,PWRBCKAUSSW,1,2050,999999.0
GLOBAL,PWRBCKAUSTA,1,2021,999999.0
GLOBAL,PWRBCKAUSTA,1,2022,999999.0
GLOBAL,PWRBCKAUSTA,1,2023,999999.0
GLOBAL,PWRBCKAUSTA,1,2024,999999.0
GLOBAL,PWRBCKAUSTA,1,2025,999999.0
GLOBAL,PWRBCKAUSTA,1,2026,999999.0
GLOBAL,PWRBCKAUSTA,1,2027,999999.0
GLOBAL,PWRBCKAUSTA,1,2028,999999.0
GLOBAL,PWRBCKAUSTA,1,2029,999999.0
GLOBAL,PWRBCKAUSTA,1,2030,999999.0
GLOBAL,PWRBCKAUSTA,1,2031,999999.0
GLOBAL,PWRBCKAUSTA,1,2032,999999.0
GLOBAL,PWRBCKAUSTA,1,2033,999999.0
GLOBAL,PWRBCKAUSTA,1,2034,999999.0
GLOBAL,PWRBCKAUSTA,1,2035,999999.0
GLOBAL,PWRBCKAUSTA,1,2036,999999.0
GLOBAL,PWRBCKAUSTA,1,2037,999999.0
GLOBAL,PWRBCKAUSTA,1,2038,999999.0
GLOBAL,PWRBCKAUSTA,1,2039,999999.0
GLOBAL,PWRBCKAUSTA,1,2040,999999.0
GLOBAL,PWRBCKAUSTA,1,2041,999999.0
GLOBAL,PWRBCKAUSTA,1,2042,999999.0
GLOBAL,PWRBCKAUSTA,1,2043,999999.0
GLOBAL,PWRBCKAUSTA,1,2044,999999.0
GLOBAL,PWRBCKAUSTA,1,2045,999999.0
GLOBAL,PWRBCKAUSTA,1,2046,999999.0
GLOBAL,PWRBCKAUSTA,1,2047,999999.0
GLOBAL,PWRBCKAUSTA,1,2048,999999.0
GLOBAL,PWRBCKAUSTA,1,2049,999999.0
GLOBAL,PWRBCKAUSTA,1,2050,999999.0
GLOBAL,PWRBCKAUSVI,1,2021,999999.0
GLOBAL,PWRBCKAUSVI,1,2022,999999.0
GLOBAL,PWRBCKAUSVI,1,2023,999999.0
GLOBAL,PWRBCKAUSVI,1,2024,999999.0
GLOBAL,PWRBCKAUSVI,1,2025,999999.0
GLOBAL,PWRBCKAUSVI,1,2026,999999.0
GLOBAL,PWRBCKAUSVI,1,2027,999999.0
GLOBAL,PWRBCKAUSVI,1,2028,999999.0
GLOBAL,PWRBCKAUSVI,1,2029,999999.0
GLOBAL,PWRBCKAUSVI,1,2030,999999.0
GLOBAL,PWRBCKAUSVI,1,2031,999999.0
GLOBAL,PWRBCKAUSVI,1,2032,999999.0
GLOBAL,PWRBCKAUSVI,1,2033,999999.0
GLOBAL,PWRBCKAUSVI,1,2034,999999.0
GLOBAL,PWRBCKAUSVI,1,2035,999999.0
GLOBAL,PWRBCKAUSVI,1,2036,999999.0
GLOBAL,PWRBCKAUSVI,1,2037,999999.0
GLOBAL,PWRBCKAUSVI,1,2038,999999.0
GLOBAL,PWRBCKAUSVI,1,2039,999999.0
GLOBAL,PWRBCKAUSVI,1,2040,999999.0
GLOBAL,PWRBCKAUSVI,1,2041,999999.0
GLOBAL,PWRBCKAUSVI,1,2042,999999.0
GLOBAL,PWRBCKAUSVI,1,2043,999999.0
GLOBAL,PWRBCKAUSVI,1,2044,999999.0
GLOBAL,PWRBCKAUSVI,1,2045,999999.0
GLOBAL,PWRBCKAUSVI,1,2046,999999.0
GLOBAL,PWRBCKAUSVI,1,2047,999999.0
GLOBAL,PWRBCKAUSVI,1,2048,999999.0
GLOBAL,PWRBCKAUSVI,1,2049,999999.0
GLOBAL,PWRBCKAUSVI,1,2050,999999.0
GLOBAL,PWRBCKAUSWA,1,2021,999999.0
GLOBAL,PWRBCKAUSWA,1,2022,999999.0
GLOBAL,PWRBCKAUSWA,1,2023,999999.0
GLOBAL,PWRBCKAUSWA,1,2024,999999.0
GLOBAL,PWRBCKAUSWA,1,2025,999999.0
GLOBAL,PWRBCKAUSWA,1,2026,999999.0
GLOBAL,PWRBCKAUSWA,1,2027,999999.0
GLOBAL,PWRBCKAUSWA,1,2028,999999.0
GLOBAL,PWRBCKAUSWA,1,2029,999999.0
GLOBAL,PWRBCKAUSWA,1,2030,999999.0
GLOBAL,PWRBCKAUSWA,1,2031,999999.0
GLOBAL,PWRBCKAUSWA,1,2032,999999.0
GLOBAL,PWRBCKAUSWA,1,2033,999999.0
GLOBAL,PWRBCKAUSWA,1,2034,999999.0
GLOBAL,PWRBCKAUSWA,1,2035,999999.0
GLOBAL,PWRBCKAUSWA,1,2036,999999.0
GLOBAL,PWRBCKAUSWA,1,2037,999999.0
GLOBAL,PWRBCKAUSWA,1,2038,999999.0
GLOBAL,PWRBCKAUSWA,1,2039,999999.0
GLOBAL,PWRBCKAUSWA,1,2040,999999.0
GLOBAL,PWRBCKAUSWA,1,2041,999999.0
GLOBAL,PWRBCKAUSWA,1,2042,999999.0
GLOBAL,PWRBCKAUSWA,1,2043,999999.0
GLOBAL,PWRBCKAUSWA,1,2044,999999.0
GLOBAL,PWRBCKAUSWA,1,2045,999999.0
GLOBAL,PWRBCKAUSWA,1,2046,999999.0
GLOBAL,PWRBCKAUSWA,1,2047,999999.0
GLOBAL,PWRBCKAUSWA,1,2048,999999.0
GLOBAL,PWRBCKAUSWA,1,2049,999999.0
GLOBAL,PWRBCKAUSWA,1,2050,999999.0
GLOBAL,PWRBCKAUTXX,1,2021,999999.0
GLOBAL,PWRBCKAUTXX,1,2022,999999.0
GLOBAL,PWRBCKAUTXX,1,2023,999999.0
GLOBAL,PWRBCKAUTXX,1,2024,999999.0
GLOBAL,PWRBCKAUTXX,1,2025,999999.0
GLOBAL,PWRBCKAUTXX,1,2026,999999.0
GLOBAL,PWRBCKAUTXX,1,2027,999999.0
GLOBAL,PWRBCKAUTXX,1,2028,999999.0
GLOBAL,PWRBCKAUTXX,1,2029,999999.0
GLOBAL,PWRBCKAUTXX,1,2030,999999.0
GLOBAL,PWRBCKAUTXX,1,2031,999999.0
GLOBAL,PWRBCKAUTXX,1,2032,999999.0
GLOBAL,PWRBCKAUTXX,1,2033,999999.0
GLOBAL,PWRBCKAUTXX,1,2034,999999.0
GLOBAL,PWRBCKAUTXX,1,2035,999999.0
GLOBAL,PWRBCKAUTXX,1,2036,999999.0
GLOBAL,PWRBCKAUTXX,1,2037,999999.0
GLOBAL,PWRBCKAUTXX,1,2038,999999.0
GLOBAL,PWRBCKAUTXX,1,2039,999999.0
GLOBAL,PWRBCKAUTXX,1,2040,999999.0
GLOBAL,PWRBCKAUTXX,1,2041,999999.0
GLOBAL,PWRBCKAUTXX,1,2042,999999.0
GLOBAL,PWRBCKAUTXX,1,2043,999999.0
GLOBAL,PWRBCKAUTXX,1,2044,999999.0
GLOBAL,PWRBCKAUTXX,1,2045,999999.0
GLOBAL,PWRBCKAUTXX,1,2046,999999.0
GLOBAL,PWRBCKAUTXX,1,2047,999999.0
GLOBAL,PWRBCKAUTXX,1,2048,999999.0
GLOBAL,PWRBCKAUTXX,1,2049,999999.0
GLOBAL,PWRBCKAUTXX,1,2050,999999.0
GLOBAL,PWRBCKAZEXX,1,2021,999999.0
GLOBAL,PWRBCKAZEXX,1,2022,999999.0
GLOBAL,PWRBCKAZEXX,1,2023,999999.0
GLOBAL,PWRBCKAZEXX,1,2024,999999.0
GLOBAL,PWRBCKAZEXX,1,2025,999999.0
GLOBAL,PWRBCKAZEXX,1,2026,999999.0
GLOBAL,PWRBCKAZEXX,1,2027,999999.0
GLOBAL,PWRBCKAZEXX,1,2028,999999.0
GLOBAL,PWRBCKAZEXX,1,2029,999999.0
GLOBAL,PWRBCKAZEXX,1,2030,999999.0
GLOBAL,PWRBCKAZEXX,1,2031,999999.0
GLOBAL,PWRBCKAZEXX,1,2032,999999.0
GLOBAL,PWRBCKAZEXX,1,2033,999999.0
GLOBAL,PWRBCKAZEXX,1,2034,999999.0
GLOBAL,PWRBCKAZEXX,1,2035,999999.0
GLOBAL,PWRBCKAZEXX,1,2036,999999.0
GLOBAL,PWRBCKAZEXX,1,2037,999999.0
GLOBAL,PWRBCKAZEXX,1,2038,999999.0
GLOBAL,PWRBCKAZEXX,1,2039,999999.0
GLOBAL,PWRBCKAZEXX,1,2040,999999.0
GLOBAL,PWRBCKAZEXX,1,2041,999999.0
GLOBAL,PWRBCKAZEXX,1,2042,999999.0
GLOBAL,PWRBCKAZEXX,1,2043,999999.0
GLOBAL,PWRBCKAZEXX,1,2044,999999.0
GLOBAL,PWRBCKAZEXX,1,2045,999999.0
GLOBAL,PWRBCKAZEXX,1,2046,999999.0
GLOBAL,PWRBCKAZEXX,1,2047,999999.0
GLOBAL,PWRBCKAZEXX,1,2048,999999.0
GLOBAL,PWRBCKAZEXX,1,2049,999999.0
GLOBAL,PWRBCKAZEXX,1,2050,999999.0
GLOBAL,PWRBCKBDIXX,1,2021,999999.0
GLOBAL,PWRBCKBDIXX,1,2022,999999.0
GLOBAL,PWRBCKBDIXX,1,2023,999999.0
GLOBAL,PWRBCKBDIXX,1,2024,999999.0
GLOBAL,PWRBCKBDIXX,1,2025,999999.0
GLOBAL,PWRBCKBDIXX,1,2026,999999.0
GLOBAL,PWRBCKBDIXX,1,2027,999999.0
GLOBAL,PWRBCKBDIXX,1,2028,999999.0
GLOBAL,PWRBCKBDIXX,1,2029,999999.0
GLOBAL,PWRBCKBDIXX,1,2030,999999.0
GLOBAL,PWRBCKBDIXX,1,2031,999999.0
GLOBAL,PWRBCKBDIXX,1,2032,999999.0
GLOBAL,PWRBCKBDIXX,1,2033,999999.0
GLOBAL,PWRBCKBDIXX,1,2034,999999.0
GLOBAL,PWRBCKBDIXX,1,2035,999999.0
GLOBAL,PWRBCKBDIXX,1,2036,999999.0
GLOBAL,PWRBCKBDIXX,1,2037,999999.0
GLOBAL,PWRBCKBDIXX,1,2038,999999.0
GLOBAL,PWRBCKBDIXX,1,2039,999999.0
GLOBAL,PWRBCKBDIXX,1,2040,999999.0
GLOBAL,PWRBCKBDIXX,1,2041,999999.0
GLOBAL,PWRBCKBDIXX,1,2042,999999.0
GLOBAL,PWRBCKBDIXX,1,2043,999999.0
GLOBAL,PWRBCKBDIXX,1,2044,999999.0
GLOBAL,PWRBCKBDIXX,1,2045,999999.0
GLOBAL,PWRBCKBDIXX,1,2046,999999.0
GLOBAL,PWRBCKBDIXX,1,2047,999999.0
GLOBAL,PWRBCKBDIXX,1,2048,999999.0
GLOBAL,PWRBCKBDIXX,1,2049,999999.0
GLOBAL,PWRBCKBDIXX,1,2050,999999.0
GLOBAL,PWRBCKBELXX,1,2021,999999.0
GLOBAL,PWRBCKBELXX,1,2022,999999.0
GLOBAL,PWRBCKBELXX,1,2023,999999.0
GLOBAL,PWRBCKBELXX,1,2024,999999.0
GLOBAL,PWRBCKBELXX,1,2025,999999.0
GLOBAL,PWRBCKBELXX,1,2026,999999.0
GLOBAL,PWRBCKBELXX,1,2027,999999.0
GLOBAL,PWRBCKBELXX,1,2028,999999.0
GLOBAL,PWRBCKBELXX,1,2029,999999.0
GLOBAL,PWRBCKBELXX,1,2030,999999.0
GLOBAL,PWRBCKBELXX,1,2031,999999.0
GLOBAL,PWRBCKBELXX,1,2032,999999.0
GLOBAL,PWRBCKBELXX,1,2033,999999.0
GLOBAL,PWRBCKBELXX,1,2034,999999.0
GLOBAL,PWRBCKBELXX,1,2035,999999.0
GLOBAL,PWRBCKBELXX,1,2036,999999.0
GLOBAL,PWRBCKBELXX,1,2037,999999.0
GLOBAL,PWRBCKBELXX,1,2038,999999.0
GLOBAL,PWRBCKBELXX,1,2039,999999.0
GLOBAL,PWRBCKBELXX,1,2040,999999.0
GLOBAL,PWRBCKBELXX,1,2041,999999.0
GLOBAL,PWRBCKBELXX,1,2042,999999.0
GLOBAL,PWRBCKBELXX,1,2043,999999.0
GLOBAL,PWRBCKBELXX,1,2044,999999.0
GLOBAL,PWRBCKBELXX,1,2045,999999.0
GLOBAL,PWRBCKBELXX,1,2046,999999.0
GLOBAL,PWRBCKBELXX,1,2047,999999.0
GLOBAL,PWRBCKBELXX,1,2048,999999.0
GLOBAL,PWRBCKBELXX,1,2049,999999.0
GLOBAL,PWRBCKBELXX,1,2050,999999.0
GLOBAL,PWRBCKBENXX,1,2021,999999.0
GLOBAL,PWRBCKBENXX,1,2022,999999.0
GLOBAL,PWRBCKBENXX,1,2023,999999.0
GLOBAL,PWRBCKBENXX,1,2024,999999.0
GLOBAL,PWRBCKBENXX,1,2025,999999.0
GLOBAL,PWRBCKBENXX,1,2026,999999.0
GLOBAL,PWRBCKBENXX,1,2027,999999.0
GLOBAL,PWRBCKBENXX,1,2028,999999.0
GLOBAL,PWRBCKBENXX,1,2029,999999.0
GLOBAL,PWRBCKBENXX,1,2030,999999.0
GLOBAL,PWRBCKBENXX,1,2031,999999.0
GLOBAL,PWRBCKBENXX,1,2032,999999.0
GLOBAL,PWRBCKBENXX,1,2033,999999.0
GLOBAL,PWRBCKBENXX,1,2034,999999.0
GLOBAL,PWRBCKBENXX,1,2035,999999.0
GLOBAL,PWRBCKBENXX,1,2036,999999.0
GLOBAL,PWRBCKBENXX,1,2037,999999.0
GLOBAL,PWRBCKBENXX,1,2038,999999.0
GLOBAL,PWRBCKBENXX,1,2039,999999.0
GLOBAL,PWRBCKBENXX,1,2040,999999.0
GLOBAL,PWRBCKBENXX,1,2041,999999.0
GLOBAL,PWRBCKBENXX,1,2042,999999.0
GLOBAL,PWRBCKBENXX,1,2043,999999.0
GLOBAL,PWRBCKBENXX,1,2044,999999.0
GLOBAL,PWRBCKBENXX,1,2045,999999.0
GLOBAL,PWRBCKBENXX,1,2046,999999.0
GLOBAL,PWRBCKBENXX,1,2047,999999.0
GLOBAL,PWRBCKBENXX,1,2048,999999.0
GLOBAL,PWRBCKBENXX,1,2049,999999.0
GLOBAL,PWRBCKBENXX,1,2050,999999.0
GLOBAL,PWRBCKBFAXX,1,2021,999999.0
GLOBAL,PWRBCKBFAXX,1,2022,999999.0
GLOBAL,PWRBCKBFAXX,1,2023,999999.0
GLOBAL,PWRBCKBFAXX,1,2024,999999.0
GLOBAL,PWRBCKBFAXX,1,2025,999999.0
GLOBAL,PWRBCKBFAXX,1,2026,999999.0
GLOBAL,PWRBCKBFAXX,1,2027,999999.0
GLOBAL,PWRBCKBFAXX,1,2028,999999.0
GLOBAL,PWRBCKBFAXX,1,2029,999999.0
GLOBAL,PWRBCKBFAXX,1,2030,999999.0
GLOBAL,PWRBCKBFAXX,1,2031,999999.0
GLOBAL,PWRBCKBFAXX,1,2032,999999.0
GLOBAL,PWRBCKBFAXX,1,2033,999999.0
GLOBAL,PWRBCKBFAXX,1,2034,999999.0
GLOBAL,PWRBCKBFAXX,1,2035,999999.0
GLOBAL,PWRBCKBFAXX,1,2036,999999.0
GLOBAL,PWRBCKBFAXX,1,2037,999999.0
GLOBAL,PWRBCKBFAXX,1,2038,999999.0
GLOBAL,PWRBCKBFAXX,1,2039,999999.0
GLOBAL,PWRBCKBFAXX,1,2040,999999.0
GLOBAL,PWRBCKBFAXX,1,2041,999999.0
GLOBAL,PWRBCKBFAXX,1,2042,999999.0
GLOBAL,PWRBCKBFAXX,1,2043,999999.0
GLOBAL,PWRBCKBFAXX,1,2044,999999.0
GLOBAL,PWRBCKBFAXX,1,2045,999999.0
GLOBAL,PWRBCKBFAXX,1,2046,999999.0
GLOBAL,PWRBCKBFAXX,1,2047,999999.0
GLOBAL,PWRBCKBFAXX,1,2048,999999.0
GLOBAL,PWRBCKBFAXX,1,2049,999999.0
GLOBAL,PWRBCKBFAXX,1,2050,999999.0
GLOBAL,PWRBCKBGDXX,1,2021,999999.0
GLOBAL,PWRBCKBGDXX,1,2022,999999.0
GLOBAL,PWRBCKBGDXX,1,2023,999999.0
GLOBAL,PWRBCKBGDXX,1,2024,999999.0
GLOBAL,PWRBCKBGDXX,1,2025,999999.0
GLOBAL,PWRBCKBGDXX,1,2026,999999.0
GLOBAL,PWRBCKBGDXX,1,2027,999999.0
GLOBAL,PWRBCKBGDXX,1,2028,999999.0
GLOBAL,PWRBCKBGDXX,1,2029,999999.0
GLOBAL,PWRBCKBGDXX,1,2030,999999.0
GLOBAL,PWRBCKBGDXX,1,2031,999999.0
GLOBAL,PWRBCKBGDXX,1,2032,999999.0
GLOBAL,PWRBCKBGDXX,1,2033,999999.0
GLOBAL,PWRBCKBGDXX,1,2034,999999.0
GLOBAL,PWRBCKBGDXX,1,2035,999999.0
GLOBAL,PWRBCKBGDXX,1,2036,999999.0
GLOBAL,PWRBCKBGDXX,1,2037,999999.0
GLOBAL,PWRBCKBGDXX,1,2038,999999.0
GLOBAL,PWRBCKBGDXX,1,2039,999999.0
GLOBAL,PWRBCKBGDXX,1,2040,999999.0
GLOBAL,PWRBCKBGDXX,1,2041,999999.0
GLOBAL,PWRBCKBGDXX,1,2042,999999.0
GLOBAL,PWRBCKBGDXX,1,2043,999999.0
GLOBAL,PWRBCKBGDXX,1,2044,999999.0
GLOBAL,PWRBCKBGDXX,1,2045,999999.0
GLOBAL,PWRBCKBGDXX,1,2046,999999.0
GLOBAL,PWRBCKBGDXX,1,2047,999999.0
GLOBAL,PWRBCKBGDXX,1,2048,999999.0
GLOBAL,PWRBCKBGDXX,1,2049,999999.0
GLOBAL,PWRBCKBGDXX,1,2050,999999.0
GLOBAL,PWRBCKBGRXX,1,2021,999999.0
GLOBAL,PWRBCKBGRXX,1,2022,999999.0
GLOBAL,PWRBCKBGRXX,1,2023,999999.0
GLOBAL,PWRBCKBGRXX,1,2024,999999.0
GLOBAL,PWRBCKBGRXX,1,2025,999999.0
GLOBAL,PWRBCKBGRXX,1,2026,999999.0
GLOBAL,PWRBCKBGRXX,1,2027,999999.0
GLOBAL,PWRBCKBGRXX,1,2028,999999.0
GLOBAL,PWRBCKBGRXX,1,2029,999999.0
GLOBAL,PWRBCKBGRXX,1,2030,999999.0
GLOBAL,PWRBCKBGRXX,1,2031,999999.0
GLOBAL,PWRBCKBGRXX,1,2032,999999.0
GLOBAL,PWRBCKBGRXX,1,2033,999999.0
GLOBAL,PWRBCKBGRXX,1,2034,999999.0
GLOBAL,PWRBCKBGRXX,1,2035,999999.0
GLOBAL,PWRBCKBGRXX,1,2036,999999.0
GLOBAL,PWRBCKBGRXX,1,2037,999999.0
GLOBAL,PWRBCKBGRXX,1,2038,999999.0
GLOBAL,PWRBCKBGRXX,1,2039,999999.0
GLOBAL,PWRBCKBGRXX,1,2040,999999.0
GLOBAL,PWRBCKBGRXX,1,2041,999999.0
GLOBAL,PWRBCKBGRXX,1,2042,999999.0
GLOBAL,PWRBCKBGRXX,1,2043,999999.0
GLOBAL,PWRBCKBGRXX,1,2044,999999.0
GLOBAL,PWRBCKBGRXX,1,2045,999999.0
GLOBAL,PWRBCKBGRXX,1,2046,999999.0
GLOBAL,PWRBCKBGRXX,1,2047,999999.0
GLOBAL,PWRBCKBGRXX,1,2048,999999.0
GLOBAL,PWRBCKBGRXX,1,2049,999999.0
GLOBAL,PWRBCKBGRXX,1,2050,999999.0
GLOBAL,PWRBCKBHRXX,1,2021,999999.0
GLOBAL,PWRBCKBHRXX,1,2022,999999.0
GLOBAL,PWRBCKBHRXX,1,2023,999999.0
GLOBAL,PWRBCKBHRXX,1,2024,999999.0
GLOBAL,PWRBCKBHRXX,1,2025,999999.0
GLOBAL,PWRBCKBHRXX,1,2026,999999.0
GLOBAL,PWRBCKBHRXX,1,2027,999999.0
GLOBAL,PWRBCKBHRXX,1,2028,999999.0
GLOBAL,PWRBCKBHRXX,1,2029,999999.0
GLOBAL,PWRBCKBHRXX,1,2030,999999.0
GLOBAL,PWRBCKBHRXX,1,2031,999999.0
GLOBAL,PWRBCKBHRXX,1,2032,999999.0
GLOBAL,PWRBCKBHRXX,1,2033,999999.0
GLOBAL,PWRBCKBHRXX,1,2034,999999.0
